,LET,TYPE,VAR,FUNC,IN,ARRAY,RECORD,ID,INT,FLOAT,END,BEGIN,WHILE,FOR,BREAK,RETURN,ENDIF,ENDDO,ELSE,THEN,INTLIT,FLOATLIT,GREATER,LESSER,GREATEREQ,LESSEREQ,EQ,NEQ,MULT,DIV,PLUS,MINUS,AND,OR,COMMA,PERIOD,COLON,SEMI,ASSIGN,LPAREN,RPAREN,LBRACK,RBRACK,IF,TO,DO
TIGER_PROGRAM,1,E,E,E,E,E,E,E,E,E,E ,E,E,E,E,E,E ,E ,E ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
DECLARATION_STAT,E,2,2,2,2,E,E,E,E,E,E ,E,E,E,E,E,E ,E ,E ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
TYPE_DECL_LIST,E,3,4,4,4,E,E,E,E,E,E ,E,E,E,E,E,E ,E ,E ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
TYPE_DECL,E,5,E,E,E,E,E,E,E,E,E ,E,E,E,E,E,E ,E ,E ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
VAR_DECL_LIST,E,E,14,15,15,E,E,E,E,E,E ,E,E,E,E,E,E ,E ,E ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
VAR_DECL,E,E,16,E,E,E,E,E,E,E,E ,E,E,E,E,E,E ,E ,E ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
FUNCT_DECL_LIST,E,E,E,22,23,E,E,E,E,E,E ,E,E,E,E,E,E ,E ,E ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
FUNCT_DECL,E,E,E,24,E,E,E,E,E,E,E ,E,E,E,E,E,E ,E ,E ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
TYPE,E,E,E,E,E,7,8,9,6,6,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
TYPE_ID,E,E,E,E,E,E,E,E,10,11,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
FIELD_LIST,E,E,E,E,E,E,E,12,E,E,13,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
ID_LIST,E,E,E,E,E,E,E,17,E,E,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E 
ID_LIST_TAIL,E,E,E,E,E,E,E,E,E,E,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,18,E,19,E ,E ,E ,E ,E ,E ,E ,E ,E 
OPTIONAL_INIT,E,E,E,E,E,E,E,E,E,E,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E,E,21,20,E ,E ,E ,E ,E ,E ,E 
PARAM_LIST,E,E,E,E,E,E,E,25,E,E,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E,E,E,E,E,E,26,E ,E ,E ,E ,E 
PARAM_LIST_TAIL,E,E,E,E,E,E,E,E,E,E,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,27,E,E,E,E,E,28,E ,E ,E ,E ,E 
PARAM,E,E,E,E,E,E,E,29,E,E,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E ,E,E,E,E,E,E,E,E ,E ,E ,E ,E 
RET_TYPE,E,E,E,E,E,E,E,E,E,E,E ,31,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,30,E,E,E,E,E ,E ,E ,E ,E 
STAT_SEQ,32,E,E,E,E,E,E,32,E,E,E ,E,32,32,32,32,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,32,E,E
STAT_SEQ_TAIL,33,E,E,E,E,E,E,33,E,E,34,E,33,33,33,33,34,34,34,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,33,E,E
STAT,41,E,E,E,E,E,E,35,E,E,E ,E,37,38,39,40,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,36,E,E
STAT_SEQ_IF_ENDIF_TAIL,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,42,E ,43,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F_OR_A_STAT,44,E,E,E,E,E,E,44,E,E,44,E,44,44,44,44,44,44,44,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,44,E,E,E,45,E,44,E,44,E,E
RHS_ASSIGN,E,E,E,E,E,E,E,46,E,E,E ,E,E,E,E,E,E,E,E,E,47,47,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,48,E,E,E,E,E,E
F_OR_E_STAT,50,E,E,E,E,E,E,50,E,E,50,E,50,50,50,50,50,50,50,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,50,E,E,E,49,E,50,E,50,E,E
LVALUE,E,E,E,E,E,E,E,51,E,E,E ,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
LVALUE_TAIL,54,E,E,E,E,E,E,54,E,E,54,E,54,54,54,54,54,54,54,54,E,E,54,54,54,54,54,54,54,54,54,54,54,54,54,53,E,54,54,54,54,52,54,54,54,54
EXPR,E,E,E,E,E,E,E,55,E,E,E ,E,E,E,E,E,E,E,E,E,55,55,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,55,E,E,E,E,E,E
EXPRPRIME,57,E,E,E,E,E,E,57,E,E,57,E,57,57,57,57,57,57,57,57,E,E,E,E,E,E,E,E,E,E,E,E,E,56,57,E,E,57,E,E,57,E,57,57,57,57
EXPR0,E,E,E,E,E,E,E,58,E,E,E ,E,E,E,E,E,E,E,E,E,58,58,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,58,E,E,E,E,E,E
EXPR0PRIME,60,E,E,E,E,E,E,E,E,E,60,E,60,60,60,60,60,60,60,60,E,E,E,E,E,E,E,E,E,E,E,E,59,E,60,E,E,60,E,E,60,E,60,60,60,60
TERM1,E,E,E,E,E,E,E,61,E,E,E ,E,E,E,E,E,E,E,E,E,61,61,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,61,E,E,E,E,E,E
TERM1PRIME,63,E,E,E,E,E,E,E,E,E,63,E,63,63,63,63,63,63,63,63,E,E,62,62,62,62,E,E,E,E,E,E,E,E,63,E,E,63,E,E,63,E,63,63,63,63
TERM2,E,E,E,E,E,E,E,64,E,E,E ,E,E,E,E,E,E,E,E,E,64,64,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,64,E,E,E,E,E,E
TERM2PRIME,66,E,E,E,E,E,E,E,E,E,66,E,66,66,66,66,66,66,66,66,E,E,E,E,E,E,65,65,E,E,E,E,E,E,66,E,E,66,E,E,66,E,66,66,66,66
TERM3,E,E,E,E,E,E,E,67,E,E,E ,E,E,E,E,E,E,E,E,E,67,67,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,67,E,E,E,E,E,E
TERM3PRIME,69,E,E,E,E,E,E,E,E,E,69,E,69,69,69,69,69,69,69,69,E,E,E,E,E,E,E,E,68,68,E,E,E,E,69,E,E,69,E,E,69,E,69,69,69,69
TERM4,E,E,E,E,E,E,E,70,E,E,E ,E,E,E,E,E,E,E,E,E,70,70,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,70,E,E,E,E,E,E
TERM4PRIME,72,E,E,E,E,E,E,E,E,E,72,E,72,72,72,72,72,72,72,72,E,E,E,E,E,E,E,E,E,E,71,71,E,E,72,E,E,72,E,E,72,E,72,72,72,72
TERM5,E,E,E,E,E,E,E,73,E,E,E ,E,E,E,E,E,E,E,E,E,73,73,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,73,E,E,E,E,E,E
OP0,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,75,74,77,76,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
OP1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,78,79,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
OP2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,80,81,E,E,E,E,E,E,E,E,E,E,E,E,E,E
OP3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,82,83,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
CONST,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,84,85,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
EXPR_LIST,E,E,E,E,E,E,E,88,E,E,E,E,E,E,E,E,E,E,E,E,88,88,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,88,89,E,E,E,E,E
EXPR_LIST_TAIL,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,90,E,E,E,E,E,91,E,E,E,E,E
